asuransi jiwa kresna, pt
yulari pramuraharjo
niken anggreni
benny theno
ito sumardi djuni sanyoto
gita rusmida sjahrir, b.a., m.b.a.
dr. ir. erman suparno mba, msi
irma sundari sulaeman
jozef darmawan angkasa
handojo koentoro setyadi
indaryono
pt. sari bumi indopower
memen adiwijaya kusumah
pt amanda cipta persada
nancy darwin
troy dartojo soputro
camelia suryana bong
kwee jen ping (yenny wijaya)
stephen patrick gore
diana alim
prasastiwi kinanti syamsidar hami
soviadi nor rachman
pt metamorfosis ekosistem indonesia
moh. anshari rahmat
shelumiel setijo
eko prasetyo
miko andidjaja
kwong heranita cintya
rian fajar isnaeni
sutadi, aaij, cplhi, amrp, qcro
hanafiah djajawinata
pt adikarsa sarana
muhammad reza
tedi setiawan
reto hugo stillhard
pt. bank pan indonesia
bapak fitri barnas
willie tandanu
pt daya adicipta mustika
pt damai investama sukses
budi rahayu
indra jaya rajagukguk
sicilia alexander s.
mery sofi
citibank hong kong s/a pbg cleints sg
jonathan tahir
pt star pacific tbk
pt inti industri telekomunikasi indonesia (persero)
stiber investments s.a.r.l
gabriel lukman pudjiadi
pt asta askara sentosa
stania pranoto
enrico mosquera djakman
yugi edison
energi
emilya tjahjadi
pt mahkota global investama
sinar mas cakrawala pt
cyrilus winatama kurniawan
gilbert v. aguillon
parluhutan sitohang
muliawan sutanto
sandra hendharto
wahyu tedjamihardja
hemant bakshi
hirawan tedjokoesoemo
paulus
mitsuru hiramuki
maniwanen
denham pte. ltd
jb kristiadi
anto broto
mastura binti mansor
bambang nurcahyo
prime invesco limited
christine tanujaya
rudy sutiono
arman hendiyanto
bob budiono
wendy sui cheng yap
sugito winarko
yansen pasaribu
pt waskita karya (persero) tbk.
gira sole prima, pt
teddy noer setiadi, se, ak, m.ak
ineke kartika dewi
irwan sjarkawi
trinidad investment pte ltd
alami lestari investindo, pt
kusmiyati epni suprihatiningsih
bbh luxembourg
elizawatie simon
michael stefan dharmajaya
myung, chang yong
simon arosokhi gulo
jordan hidajat
lisianawati
andi irwandy
adrianus iskandar
pt andalan utama bintara
lion holdings sdn bhd
drs. mohammad raylan, mm.
a.r. sofyan
sigit hartojo hadi santoso
elisabeth novie riswanti
lily
setiyo wibowo
yaqut cholil qoumas
ubp sg-energy collier private limited
tuk yulianto sh, mm
christin soewito
kertas
mulia grahapermai
harry tjhen
harman siswanto
mertje tjokro
roberto lorato
loa johnny mailoa
chong kim kong
silvana
the jok tung
victor maria s. sandjaja
hendi prio santoso
pt sigmantara alfindo
johanes wahyudi edward
jamal rosyidin hakki
aman santoso
anthony chandra
tumiyana
dewi susanti
edwin derma radar hukum
mayang ekaputri
monika elisabeth
michella ristiadewi
januar hadi
ria sari sidabutar
yusak lumba pardede
goh kian chee
bapak jimmy pramono
pt supernova flexible packaging
lukcimo jahja
prof. dr. teddy pawitra
irma stamboel
adi imansyah
ubaidillah nugraha
teguh alamsyah
karla winata
hadiwinarto christanto
susana indah k. indriati
uob kay hian pte ltd a/c mutiara timur pratama, pt
martin arthur guest
adrian rusmana, mba
riono trisongko
salomon adiwarna
pt mandiri capital indonesia
tommy hidayat
donny
monang situmeang
nicolaus eko riwayanto
u.s.m. tampubolon
effendi leman
mohamad fauzi m. ichsan
handoko tripriyono, cpa
dr. cynthia afriani se., me.
pt guna makmur raya
aris widiarto
pio hizkia wehantouw
carolina dina rusdiana
michael sung
franciscus welirang
djkn s/a 8006450047
erwin setiawan
evi rosanah
rudolf parningotan nainggolan
michael h. hadylaya
agus mulyanto
thomas lee
dody triasmara
pt soechi group
danny kojongian
yohanes linero
arief achmad dhani
sri mulyana
junaidi
harry abbas
mariana sutadi sh
ade irma hidayah
ibrahim hasybi
aling hermawan
produk & perlengkapan bangunan
ade r. susardi
septony b. siahaan
chintya leony h, cpa
veny indrawati
gories mere
pt multifortuna asindo
joseph prajogo
tiara marga trakindo
yohanes eka prayuda
budi santoso kusmiantoro*
frederik wattimena
welly
ayuning mahastuti
fadjar tasrif
m. jamil
chittaranjan gokal
heyzer harsono
bisman novel maraden firdaus simatupang
vanko investment limited
matthew oliver panutomo
drh. harsono eddy
hendra jaya kosasih
swan mie rudy tanardi
jastiro abi
masrizal achmad syarief
roslini onwardi
vonny kristiani
riyanthi handayani
shuichi hayashi
denny hendaya
pt wintermarjaya lestari
maliki
irjanto ongko
pt fikasa bintang cemerlang
hmy bambang sujanto
limiwaty lie
jeffry siahaan
bnym sa/nv as cust of minot light apac ltd.- 2039845843
hermansyah
pt alphen internasional corporindo
anastasia christinawati
ir. susanto suwarto
hartono
dicky setiadi moechtar
arman sutedja
a. suko widigdo
jemmy
paul christian ariyanto
gouw erene goetama
dini shanti purwono
calvin nicholas sulistyo
adrianto djokosoetono
harjanto
konstruksi bangunan
tri harsono syahudoyo
mizuho leasing co,. ltd (d/h ibj leasing co,. ltd)
bni divisi penyelamatan & penyelesaian kredit korporasi
toto yulianto
dwi setijo adji
aron yongky
josua hutapea
elisabeth gelael
bambang seto
oversea chinese banking corp ltd
fauzy
diana arsiyanti
monish manohar mansukhani
pt salim ivomas pratama tbk
kenneth lian
edi
ko sugiarto
supardji, ak.m.m
abdur rahman hasan
andi tenri dala fajar
ferry j. robertus tandiono
pt igelcorp nusantara kapital
bambang njotoprajitno
paulus bondan s. herman
nicodemus marjopranoto trisnadi
haryanto tjiptodihardjo
indra halim
pt surya perkasa sentosa
pt kalbe farma tbk
pt mirae asset sekuritas indonesia
lembing
bloom international ltd
richard wiriahardja
pramoda dei sudarmo*
edwin suratman, se, ak
lioe djohan
terence donald o�connor
gunawan sumana
retnowati
pt. maspion
imam sugiarto
kevin rahardja
pt tancorp global abadi
pt agung alam anugrah
reza febriano
kang ho chang
lea setianti kusumawijaya
sean lee yun feng
francisca rahardja
ang andri pribadi
djoko pranoto santoso
magit les denny tewu
pt nasional niaga abadi
diar yunvitantri
raden bagus permana agung dradjattun
widjojo budiarto
santi paramita
noble ox international ltd
kharim indra gupta siregar
lim gunawan hariyanto
hirawan nur kustono
yenny goei
birawa natapradja
kenny jesusanto
hans kartikahadi
makmur darmo
cahya ernawan, ak
indra josepha
oey alfred
lucas firman djajanto
heri supriyadi
pt sinar mas multiartha tbk.
dewi mandrawan
erwin kurniawan
gaprey suprihatin
pt kota satu indonesia
pt totalindo investama persada
bala krisna
suparno adijanto
pt. wiratama karya sejati
beny bachtiar
indah dahlia lavie
tjiang jefry
jetrinaldi
bp. sutrisno, s.h
deden ramdhan
randy angkosubroto
cahaya anugerah
diana wirawan
nawal nely
drs. jeffry sanusi soedargo
catherine juwita sabatini
adi tri wibowo
pt guna investindo
sylvia lukman
hartanto kusmanto
angeline nangoi
wilson sofan
mohammad effendi
anist fahimah
mochammad mabror
jimmy paulus watulingas
mutia nandika
sjakon george tahija
hermawan chandra
andi eka firman ermawan
prof. dr. ir. kuntoro mangkusubroto
blue sphere singapore pte ltd
ir. wistiandono a. harsono
erlangga ksatria
demeter indo investment pte. ltd.
budi s. tanuwibowo
tjahjana setiadhi
jamin tjandra
reza mahastra
lay diza larentie
lina ariawati harijono
pt temas lestari
ida haerani
lennard ho kian guan
ir. ketut sanjaya, msm
dessy
hary tanoesoedibjo
sri yanthi
lim fi lan
toto sucartono
i gusti gede subawa
ratna ningrum
albertus hendrawan
djoko harijanto
equity global int. limited
kusman yandi
haiyanto
lenggana linggawati
harris p. simanjuntak
inna saparina sutanto
vikash mahendra pillay
peter vinzenz merkle
pt super capital indonesia
suyono handoko
boyke antonius naba se
reniwati darmakusumah
leo a. mancianno
keok khee chuang
furukawa electric co.ltd
jonathan walewangko
prasetyo suhardi
rachmat arifin
ramesh veloo
