GPRA|tanggal pencatatan|10 okt 2007
GRHA|tanggal pencatatan|01 jan 1911
GSMF|tanggal pencatatan|23 okt 1989
GTBO|tanggal pencatatan|09 jul 2009
GWSA|tanggal pencatatan|23 des 2011
GZCO|tanggal pencatatan|15 mei 2008
HADE|tanggal pencatatan|12 apr 2004
HDFA|tanggal pencatatan|10 mei 2011
HDIT|tanggal pencatatan|12 jul 2019
HDTX|tanggal pencatatan|06 jun 1990
HEAL|tanggal pencatatan|16 mei 2018
HELI|tanggal pencatatan|27 mar 2018
HERO|tanggal pencatatan|21 ags 1989
HEXA|tanggal pencatatan|13 feb 1995
HITS|tanggal pencatatan|15 des 1997
HKMU|tanggal pencatatan|09 okt 2018
HMSP|tanggal pencatatan|15 ags 1990
HOKI|tanggal pencatatan|22 jun 2017
HOME|tanggal pencatatan|17 jul 2008
HOMI|tanggal pencatatan|10 sep 2020
HOPE|tanggal pencatatan|24 mei 2021
HOTL|tanggal pencatatan|10 jan 2013
HRME|tanggal pencatatan|12 apr 2019
HRTA|tanggal pencatatan|21 jun 2017
HRUM|tanggal pencatatan|06 okt 2010
IATA|tanggal pencatatan|13 sep 2006
IBFN|tanggal pencatatan|22 des 2014
IBST|tanggal pencatatan|31 ags 2012
ICBP|tanggal pencatatan|07 okt 2010
ICON|tanggal pencatatan|08 jul 2005
IDPR|tanggal pencatatan|10 des 2015
IFII|tanggal pencatatan|10 des 2019
IFSH|tanggal pencatatan|05 des 2019
IGAR|tanggal pencatatan|05 nov 1990
IIKP|tanggal pencatatan|14 okt 2002
IKAI|tanggal pencatatan|04 jun 1997
IKAN|tanggal pencatatan|12 feb 2020
IKBI|tanggal pencatatan|21 jan 1991
IMAS|tanggal pencatatan|15 nov 1993
IMJS|tanggal pencatatan|10 des 2013
IMPC|tanggal pencatatan|17 des 2014
INAF|tanggal pencatatan|17 apr 2001
INAI|tanggal pencatatan|05 des 1994
INCF|tanggal pencatatan|06 sep 2016
