ADRO,Tanggal Pencatatan,16 Jul 2008,-
ADRO,Sektor,Energi,-
ADRO,Sub Sektor,Minyak, Gas, & Batu Bara,-
ADRO,Industri,Batu Bara,-
ADRO,Sub Industri,Produksi Batu Bara,-
ADRO,Sekretaris Perusahaan,Mahardika Putranto,-
ADRO,PRESIDEN DIREKTUR,Garibaldi Thohir,-
ADRO,WAKIL PRESIDEN DIREKTUR,Christian Ariano Rachmat,-
ADRO,DIREKTUR,Chia Ah Hoo,-
ADRO,DIREKTUR,Mohammad Syah Indra Aman,-
ADRO,DIREKTUR,Julius Aslan,-
ADRO,PRESIDEN KOMISARIS,Edwin Soeryadjaya,no
ADRO,WAKIL PRESIDEN KOMISARIS,Ir. Theodore Permadi Rachmat,no
ADRO,KOMISARIS,Arini Saraswaty Subianto,no
ADRO,KOMISARIS,Dr. Ir. Raden Pardede,yes
ADRO,KOMISARIS,Mohammad Effendi,yes
ADRO,KETUA,Mohammad Effendi,-
ADRO,ANGGOTA,Ignatius Robby Sani,-
ADRO,ANGGOTA,Lindawati Gani,-
ADRO,Pemegang Saham,PT Adaro Strategic Investment,-
ADRO,Pemegang Saham,Garibaldi Thohir,-
AGAR,Tanggal Pencatatan,02 Des 2019,-
AGAR,Sektor,Barang Konsumen Primer,-
AGAR,Sub Sektor,Makanan & Minuman,-
AGAR,Industri,Produk Makanan Pertanian,-
AGAR,Sub Industri,Ikan, Daging & Produk Unggas,-
AGAR,Sekretaris Perusahaan,Agnes Kristina,-
AGAR,DIREKTUR UTAMA,Indra Widyadharma,-
AGAR,DIREKTUR,Agnes Kristina,-
AGAR,KOMISARIS UTAMA,Bayu Aji,no
AGAR,KOMISARIS,Thelly Rope,yes
AGAR,KETUA,Gunawan Ruslim,-
AGAR,ANGGOTA,Sarah Cahya Prawira,-
AGAR,ANGGOTA,Octaviana Amanda,-
AGAR,Pemegang Saham,PT Indo Kreasi Pratama,-
AGAR,Pemegang Saham,PT Sinar Terang Asia Raya,-
AGII,Tanggal Pencatatan,28 Sep 2016,-
AGII,Sektor,Barang Baku,-
AGII,Sub Sektor,Barang Baku,-
AGII,Industri,Barang Kimia,-
AGII,Sub Industri,Barang Kimia Dasar,-
AGII,Sekretaris Perusahaan,Imelda Mulyani Harsono,-
AGII,DIREKTUR UTAMA,RACHMAT HARSONO,-
AGII,WAKIL DIREKTUR UTAMA,FERRYAWAN UTOMO,-
AGII,DIREKTUR,IMELDA MULYANI HARSONO,-
AGII,DIREKTUR,AGUS PURNOMO,-
AGII,DIREKTUR,NINI LIEMIJANTO,-
AGII,DIREKTUR,BUDI SUSANTO,-
AGII,DIREKTUR,DJANARKO TJANDRA,-
AGII,KOMISARIS UTAMA,ARIEF HARSONO,no
AGII,WAKIL KOMISARIS UTAMA,HEYZER HARSONO,no
AGII,WAKIL KOMISARIS UTAMA,RASID HARSONO,no
AGII,KOMISARIS,HARGO UTOMO,no
AGII,KOMISARIS,C.M. BING SOEKIANTO,yes
AGII,KOMISARIS,AGOEST SOEBHEKTIE,yes
AGII,KETUA,BING SOEKIANTO,-
AGII,ANGGOTA,TJOKRO ALIWIDJAJA,-
AGII,ANGGOTA,GABY TANADI,-
AGII,Pemegang Saham,PT Aneka Mega Energi,-
AGII,Pemegang Saham,PT Samator,-
AGII,Pemegang Saham,Masyarakat,-
AGII,Pemegang Saham,PT Saratoga Investama Sedaya,-
AGRO,Tanggal Pencatatan,08 Ags 2003,-
AGRO,Sektor,Keuangan,-
AGRO,Sub Sektor,Bank,-
AGRO,Industri,Bank,-
AGRO,Sub Industri,Bank,-
AGRO,Sekretaris Perusahaan,Hirawan Nur Kustono,-
AGRO,DIREKTUR UTAMA,Kaspar Situmorang,-
AGRO,DIREKTUR,Bhimo Wikan Hantoro,-
AGRO,DIREKTUR,Ernawan,-
AGRO,DIREKTUR,Sigit Murtiyoso,-
AGRO,DIREKTUR,Arif Wicaksono,-
AGRO,KOMISARIS,Eko B. Supriyanto,yes
AGRO,KOMISARIS,Rina Saadah,yes
AGRO,KOMISARIS,Rama Notowidigdo,yes
AGRO,KOMISARIS UTAMA,Budi Satria,no
AGRO,KOMISARIS,Achmad F.C. Barir,no
AGRO,KETUA,Rina Saadah*),-
AGRO,ANGGOTA,Eko B. Supriyanto*),-
AGRO,ANGGOTA,Ari Setyo Wibowo,-
AGRO,ANGGOTA,Antonius Suryanta,-
AGRO,Pemegang Saham,PT. Bank Rakyat Indonesia (Persero) Tbk,-
AGRS,Tanggal Pencatatan,22 Des 2014,-
AGRS,Sektor,Keuangan,-
AGRS,Sub Sektor,Bank,-
AGRS,Industri,Bank,-
AGRS,Sub Industri,Bank,-
AGRS,Sekretaris Perusahaan,Ita Hidayati,-
AGRS,DIREKTUR UTAMA,Park Ju Yong,-
AGRS,DIREKTUR,Lee Dae Sung,-
AGRS,DIREKTUR,Maria Cortilia Vera Afianti,-
AGRS,DIREKTUR,Edi,-
AGRS,DIREKTUR,Alexander Frans Rori,-
AGRS,KOMISARIS UTAMA,Paulus Nurwadono,no
AGRS,KOMISARIS,Kang Ho Chang,no
AGRS,KOMISARIS,Gaguk Hartadi,yes
AGRS,KOMISARIS,Taufik Hakim,yes
AGRS,KETUA,Gaguk Hartadi,-
AGRS,ANGGOTA,Ardian Hak,-
AGRS,ANGGOTA,Rubi Pertama,-
AGRS,KETUA,Gaguk Hartadi,-
AGRS,ANGGOTA,Ardian Hak,-
AGRS,ANGGOTA,Rubi Pertama,-
AGRS,Pemegang Saham,Industrial Bank of Korea,-
AHAP,Tanggal Pencatatan,14 Sep 1990,-
AHAP,Sektor,Keuangan,-
AHAP,Sub Sektor,Asuransi,-
AHAP,Industri,Asuransi,-
AHAP,Sub Industri,Asuransi Umum,-
AHAP,Sekretaris Perusahaan,Sutjianta,-
AHAP,DIREKTUR UTAMA,Roy S Wiradharma,-
AHAP,DIREKTUR,Dwi Wahyuni,-
AHAP,DIREKTUR,Sutjianta,-
AHAP,DIREKTUR,Treesje Halim,-
AHAP,DIREKTUR,Alamsyah,-
AHAP,DIREKTUR,Rinawati,-
AHAP,KOMISARIS UTAMA,Adhi Indrawan,no
AHAP,KOMISARIS,Budi S. Tanuwibowo,yes
AHAP,KOMISARIS,Bambang Heryanto,yes
AHAP,KOMISARIS,Pramono Margono,yes
AHAP,KETUA,Bambang Heryanto,-
AHAP,ANGGOTA,Sentot Margianto,-
AHAP,ANGGOTA,Mochammad Mabror,-
AHAP,Pemegang Saham,PT ASURANSI CENTRAL ASIA,-
AHAP,Pemegang Saham,SENDRA GUNAWAN,-
AHAP,Pemegang Saham,PT. ASIAN INTERNATIONAL INVESTINDO,-
AIMS,Tanggal Pencatatan,20 Jul 2001,-
AIMS,Sektor,Energi,-
AIMS,Sub Sektor,Minyak, Gas, & Batu Bara,-
AIMS,Industri,Batu Bara,-
AIMS,Sub Industri,Produksi Batu Bara,-
AIMS,Sekretaris Perusahaan,Heriman Setyabudi,-
AIMS,DIREKTUR UTAMA,Ramono Sukadis,-
AIMS,DIREKTUR,M. Aditya Hutama Putra,-
AIMS,KOMISARIS UTAMA,Paido Sahala Marulitua,no
AIMS,KOMISARIS,Andree Djayaprawira,no
AIMS,KOMISARIS,Megah Supratiwi,yes
