,max,min,avg,median,count
46,0.2372619570345368,0.052476327175229265,0.14552137315070934,0.1472788523488771,20.037
47,0.23518134277562205,0.04889681827845821,0.14335744059446762,0.14423519152317457,20.199
48,0.23156983733859196,0.047896929479356073,0.14108547708621422,0.14419222908116627,20.422
49,0.22940248229082763,0.04766744674328337,0.13953566901414838,0.13949785558578146,20.613
50,0.22831594173281375,0.04826224614235612,0.1403424303759944,0.14274115372857454,21.241
51,0.2176244254151442,0.046730149634244385,0.13429142217866494,0.13555858371660412,21.603
52,0.2182527738888718,0.0446766393354276,0.1330342554399751,0.1341541838452772,22.25
53,0.21325727133118175,0.04557977125573458,0.1305355953053295,0.13161345891891205,22.342
54,0.20631113323500166,0.04335716772391297,0.1254424991932379,0.12549939111504543,22.953
55,0.20779687740010525,0.044501046632202446,0.12670820277551187,0.12745647000595714,23.299
56,0.20967267262501002,0.04363016501828436,0.12776698573550102,0.12899595854672502,23.77
57,0.1976827883645386,0.04076504854419384,0.12088177445754747,0.12256495150890975,24.217
58,0.1950391656152301,0.04233177305483228,0.12002870719399919,0.1205060564860433,24.806
59,0.18449714318918062,0.03986263864083105,0.11287052347467652,0.11279423791872849,25.0
60,0.1914893889705497,0.04028595277288233,0.11732827585452098,0.1188300817146958,25.588
61,0.18909777654591597,0.04059134853603539,0.11495604002755883,0.11594317959323684,26.017
62,0.1888993340674812,0.040312750115425795,0.11535109908239094,0.1153601761089838,26.228
63,0.18481736853105196,0.04070546789712061,0.11343721284538227,0.11424411908400277,26.723
64,0.18197138443956046,0.03902811024721386,0.11087944332625406,0.11039395327019971,26.88
65,0.17096042733492403,0.036288063380709605,0.1045159862559757,0.10494059480024624,27.487
66,0.16943967386937667,0.03440741838324957,0.1028975432834184,0.10296203968555458,28.145
67,0.17103845830294315,0.037531731206496194,0.10466229597089953,0.10502437144069239,28.468
68,0.1759311228126402,0.036620531328903874,0.10621048814581487,0.10653406450253357,28.575
69,0.16696206503874575,0.03533896375416895,0.10166057009155195,0.10220285584111459,29.048
70,0.1642459969720105,0.033359109344984886,0.0995112065042206,0.09973181871185505,29.607
71,0.16279913184948694,0.03406749433244302,0.09938055075784723,0.0997091506354708,30.332
72,0.1621069259302693,0.033616150673342345,0.09860245347990322,0.09891745247498739,30.669
73,0.155196371709787,0.03209827832188385,0.09385286316960653,0.09370855698234269,31.243
74,0.1532393018768093,0.031513641706472556,0.09249788659129153,0.09272749601921555,31.472
75,0.15707200109835598,0.03397159344360481,0.09631867250379687,0.09601454829738287,32.291
76,0.15136949708372227,0.03377721252294323,0.0938973302685202,0.0953757634486752,32.167
77,0.15421256617481513,0.03363526659285331,0.09431272442490635,0.09541488116554325,32.581
78,0.14941200851820394,0.03025071444208292,0.09121472255116066,0.09234968458658736,33.145
79,0.14621669985761443,0.030012086799026876,0.08877860402120895,0.0893973629969244,33.77
80,0.14974769902485882,0.029268527661771186,0.08978334288874755,0.09013799876522588,33.979
81,0.1424752369659208,0.02963344069235373,0.08654444239064157,0.08715728100134912,33.94
82,0.13889863028582256,0.028658728627127518,0.08446840076114806,0.08470396643999041,34.536
83,0.1377786504700754,0.028724407896455632,0.08443611908726528,0.08557555903797207,34.624
84,0.1374593852059407,0.028180327502460634,0.08289868965197106,0.08310867780878345,35.245
85,0.1356015747046619,0.029928296654995266,0.08253398657132159,0.08213587919966117,36.432
86,0.13142099698267018,0.028545731934875206,0.0808796118178824,0.08177830261379894,36.329
87,0.13980713560849353,0.02852877133873286,0.08474581989226593,0.0857570933077431,37.02
88,0.12898102579655604,0.02575938801159271,0.07794104538460671,0.07885719695830613,37.776
89,0.13178650306226006,0.026776597954618824,0.08032909565677405,0.08153244225012261,37.93
90,0.12901515989697174,0.02705142630669113,0.07845980928694805,0.07892029295970457,37.56
