,max,min,avg,median,count
53,0.7540847428659951,0.04630770550157466,0.4154828417235719,0.43388221034193475,22.909
54,0.749706788427132,0.04442359449646569,0.4115775883067347,0.42896359130015055,22.91
55,0.757076423960549,0.04596690248305682,0.41397472895421905,0.42961605383410123,23.383
56,0.7624180233920238,0.042170368811228105,0.41840947574923326,0.4372240997479822,23.832
57,0.7517904229025473,0.04059115301593475,0.4084449885606069,0.42567055605336457,24.311
58,0.7656640142532655,0.04303349412479868,0.4178951160252809,0.43515207015712765,24.502
59,0.7559507013320806,0.03891793819650117,0.40531276140547084,0.4193370149391796,25.323
60,0.7611232484719673,0.04150566811069978,0.4169055913577874,0.43408172747942636,25.146
61,0.7636733877277074,0.04000364639317672,0.4157458135722256,0.4312168721152362,25.818
62,0.758838223099227,0.038021740618350224,0.41089206672329015,0.4254796194943747,26.031
63,0.7621030644708859,0.03864968280463927,0.4124712983692899,0.4295210402494642,26.611
64,0.7623205540595644,0.035843774086954966,0.4109560300739538,0.4262699120348008,27.257
65,0.7739101683231002,0.03748110620040021,0.42058399097441596,0.4389091726015627,27.763
66,0.7620949494272551,0.037697183074608835,0.41394461119315024,0.4298820896854424,28.186
67,0.762505831355895,0.035040317366385985,0.41013511921594165,0.4273356630510051,28.517
68,0.7682131709667241,0.0366389213415673,0.41492411567615806,0.43227553530864027,28.99
69,0.7633673668570075,0.036677415442286164,0.410030906321346,0.42643843909539825,29.089
70,0.7623900444834197,0.033806806155398425,0.4095125603379295,0.4254037197446018,29.458
71,0.7697395366514267,0.0328213118028089,0.41438678615524727,0.4326798220645928,30.039
72,0.770876320827662,0.03226693379120733,0.41329204418369525,0.4301814541960331,30.358
73,0.7675948386523541,0.03330349224393837,0.4096184939658667,0.42605381038740125,31.113
74,0.7742195041509866,0.03226949452705624,0.4140866651681819,0.43058691570603785,31.323
75,0.7696680747388005,0.03228457599811397,0.40921648626715673,0.4266277353851123,31.61
76,0.7708187210948249,0.030502127322428532,0.4137903909275526,0.4293900331883945,32.373
77,0.7634562942124294,0.030490208742715838,0.4082275651975423,0.42534729808358,32.543
